Model,Marka,Temiz,Etiket
Fiat Egea 1.6 Multijet Mirror,Fiat,fiat egea multijet mirror,1
Citroen C-Elysee 1.5 BlueHDi Feel,Citroen,citroen c elysee bluehdi feel,3
Dacia Sandero 1.0 Tce Comfort,Dacia,dacia sandero tce comfort,19
Peugeot 301 1.5 BlueHDI Active,Peugeot,peugeot bluehdı active,5
Hyundai Getz 1.4 DOHC Start,Hyundai,hyundai getz dohc start,8
Ford Focus 1.5 TDCi Titanium,Ford,ford focus tdci titanium,2
Volkswagen Scirocco 1.4 TSi Sportline,Volkswagen,volkswagen scirocco tsi sportline,6
Seat Altea 1.6 TDI Style XL,Seat,seat altea tdı style xl,14
BMW 5 Serisi 520i Comfort,BMW,bmw seri comfort,12
Mercedes - Benz C 200 d BlueTEC AMG,Mercedes - Benz,mercedes benz c d bluetec amg,11
Renault Megane 1.3 TCe Icon,Renault,renault megane tce ıcon,0
Mercedes - Benz CLK 200 Kompressor Avantgarde,Mercedes - Benz,mercedes benz clk kompressor avantgarde,11
Porsche Panamera Diesel,Porsche,porsche panamera diesel,21
Volkswagen Golf 1.4 TSi Highline,Volkswagen,volkswagen golf tsi highline,6
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Volkswagen Polo 1.0 TSi Life,Volkswagen,volkswagen polo tsi lif,6
Porsche Panamera Diesel,Porsche,porsche panamera diesel,21
Kia Rio 1.4 CRDi Concept Plus,Kia,kia rio crdi concept plus,16
Volkswagen Passat 1.6 Exclusive,Volkswagen,volkswagen passat exclusive,6
Volkswagen Polo 1.0 TSi Comfortline,Volkswagen,volkswagen polo tsi comfortline,6
Fiat Punto 1.3 Multijet Lounge,Fiat,fiat punto multijet lounge,1
Renault Symbol 0.9 TCe Joy,Renault,renault symbol tce joy,0
Ford Fiesta 1.4 TDCi Titanium,Ford,ford fiesta tdci titanium,2
Dacia Sandero 1.5 dCi Stepway,Dacia,dacia sandero dci stepway,19
Porsche Taycan Turbo S,Porsche,porsche taycan turbo s,21
Mercedes - Benz A 180 d Progressive,Mercedes - Benz,mercedes benz d progressive,11
Fiat Marea 1.6 ELX,Fiat,fiat marea elx,1
Renault Megane 1.5 dCi Touch,Renault,renault megane dci touch,0
Opel Corsa 1.2 Enjoy,Opel,opel corsa enjoy,9
Chrysler Concorde 3.5,Chrysler,chrysler concorde,22
Toyota Corolla 1.6 Premium,Toyota,toyota corolla premium,13
Dacia Sandero 1.5 dCi Stepway,Dacia,dacia sandero dci stepway,19
Ford Focus 1.0 EcoBoost Titanium Stil,Ford,ford focus ecoboost titanium stil,2
Peugeot 301 1.6 BlueHDI Active,Peugeot,peugeot bluehdı active,5
Opel Astra 1.6 Enjoy,Opel,opel astra enjoy,9
BMW 5 Serisi 520i Premium,BMW,bmw seri premium,12
Volkswagen Passat 2.0 TDi BlueMotion Highline,Volkswagen,volkswagen passat tdi bluemotion highline,6
Opel Astra 1.6 Edition Plus,Opel,opel astra edition plus,9
Fiat Linea 1.3 Multijet Active Plus,Fiat,fiat linea multijet active plus,1
Citroen C3 Picasso 1.6 e-HDi Confort,Citroen,citroen c picasso hdi confort,3
Renault Megane 1.5 dCi Dynamique,Renault,renault megane dci dynamique,0
Fiat Egea 1.4 Fire Urban Plus,Fiat,fiat egea fire urban plus,1
Audi A3 Sportback 1.6 Ambiente,Audi,audi sportback ambiente,15
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen golf tdi bluemotion comfortline,6
Volkswagen Passat 1.6 TDi BlueMotion Business,Volkswagen,volkswagen passat tdi bluemotion business,6
Volkswagen Bora 1.6 Comfortline,Volkswagen,volkswagen bora comfortline,6
Volkswagen Passat 1.6 TDi BlueMotion Highline,Volkswagen,volkswagen passat tdi bluemotion highline,6
Ford Focus 1.6 TDCi Trend,Ford,ford focus tdci trend,2
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Renault Latitude 1.5 dCi Privilege,Renault,renault latitude dci privilege,0
Honda Civic 1.6 i-VTEC Elegance,Honda,honda civic vtec elegance,17
Tofaş Kartal 5 Vites,Tofaş,tofaş kartal vites,4
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Volkswagen Passat 1.6 TDi BlueMotion Highline,Volkswagen,volkswagen passat tdi bluemotion highline,6
Audi A3 Sedan 1.4 TFSI Ambition,Audi,audi seda tfsı ambition,15
Ford Fiesta 1.4 TDCi Comfort,Ford,ford fiesta tdci comfort,2
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
BMW 5 Serisi 520i M Sport,BMW,bmw seri m sport,12
Renault Clio 1.4 RNA,Renault,renault clio rna,0
Kia Cerato 1.6 CRDi Concept Plus,Kia,kia cerato crdi concept plus,16
Daihatsu Sirion 1.3,Daihatsu,daihatsu sirion,23
Peugeot 206 1.4 HDi X-Design,Peugeot,peugeot hdi x design,5
Fiat Egea 1.3 Multijet Urban Plus,Fiat,fiat egea multijet urban plus,1
Ford Focus 1.6 TDCi Trend X,Ford,ford focus tdci trend x,2
Mercedes - Benz C 200 d BlueTEC AMG,Mercedes - Benz,mercedes benz c d bluetec amg,11
Toyota Corolla 1.6 GLi,Toyota,toyota corolla gli,13
Renault Megane 1.5 dCi Authentique,Renault,renault megane dci authentique,0
Volkswagen Jetta 1.6 TDi Exclusive,Volkswagen,volkswagen jetta tdi exclusive,6
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Hyundai Accent Era 1.5 CRDi Mode,Hyundai,hyundai accent era crdi mode,8
Renault Megane 1.6 Dynamique,Renault,renault megane dynamique,0
Skoda Octavia 1.6 TDI Elegance,Skoda,skoda octavia tdı elegance,7
Opel Astra 1.6 CDTI Elite,Opel,opel astra cdtı elit,9
Audi A6 Sedan 2.0 TDI,Audi,audi seda tdı,15
Skoda Fabia 1.2 TSI Style,Skoda,skoda fabia tsı style,7
Ford Focus 1.6 TDCi Trend X,Ford,ford focus tdci trend x,2
Skoda Octavia 1.6 TDI Ambiente,Skoda,skoda octavia tdı ambiente,7
Audi A6 Sedan 2.0 TDI,Audi,audi seda tdı,15
BMW 3 Serisi 320d Sport Line,BMW,bmw seri d sport line,12
Fiat Punto 1.3 Multijet Lounge,Fiat,fiat punto multijet lounge,1
Fiat Egea 1.6 Multijet Mirror,Fiat,fiat egea multijet mirror,1
Volkswagen Golf 1.6 TDi BlueMotion Highline,Volkswagen,volkswagen golf tdi bluemotion highline,6
Opel Astra 1.4 T Cosmo,Opel,opel astra t cosmo,9
Volkswagen Golf 1.6 TDi BlueMotion Highline,Volkswagen,volkswagen golf tdi bluemotion highline,6
Volkswagen Passat 1.6 TDi BlueMotion Business,Volkswagen,volkswagen passat tdi bluemotion business,6
Opel Astra 1.4 T Edition Plus,Opel,opel astra t edition plus,9
Volkswagen Jetta 1.2 TSi BlueMotion Trendline,Volkswagen,volkswagen jetta tsi bluemotion trend,6
Toyota Yaris 1.3 Sol,Toyota,toyota yaris sol,13
Peugeot 301 1.5 BlueHDI Active,Peugeot,peugeot bluehdı active,5
Renault Clio 1.5 dCi Authentique,Renault,renault clio dci authentique,0
Audi A3 Sportback 1.6 TDI Attraction,Audi,audi sportback tdı attraction,15
Renault Clio 1.5 dCi Touch,Renault,renault clio dci touch,0
Fiat Linea 1.3 Multijet Active Plus,Fiat,fiat linea multijet active plus,1
Honda Civic 1.6 i-DTEC Elegance,Honda,honda civic dtec elegance,17
Skoda Rapid 1.4 TDI Spaceback Style,Skoda,skoda rapid tdı spaceback style,7
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Tofaş Doğan SLX,Tofaş,tofaş doğan slx,4
Volkswagen Passat 2.0 TDi BlueMotion Highline,Volkswagen,volkswagen passat tdi bluemotion highline,6
Renault Scenic 1.6 Dynamique,Renault,renault scenic dynamique,0
Volkswagen Golf 1.2 TSi Comfortline,Volkswagen,volkswagen golf tsi comfortline,6
Toyota Corolla 1.4 D-4D Terra,Toyota,toyota corolla d d terra,13
Hyundai Elantra 1.6 D-CVVT Mode,Hyundai,hyundai elantra d cvvt mode,8
Hyundai Accent Era 1.4 Team,Hyundai,hyundai accent era team,8
Ford Fiesta 1.4 Titanium,Ford,ford fiesta titanium,2
Renault Clio 1.4 RNA,Renault,renault clio rna,0
Toyota Auris 1.4 D-4D Advance Skypack,Toyota,toyota auris d d advance skypack,13
Kia Rio 1.4 CRDi Fancy,Kia,kia rio crdi fancy,16
Renault Clio 1.5 dCi Extreme Edition,Renault,renault clio dci extreme edition,0
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Renault Megane 1.5 dCi Joy,Renault,renault megane dci joy,0
Mercedes - Benz E 200 Kompressor Avantgarde,Mercedes - Benz,mercedes benz kompressor avantgarde,11
Toyota Corolla 1.4 D-4D Premium 50.Yıl,Toyota,toyota corolla d d premium yıl,13
Opel Corsa 1.2 Twinport Essentia,Opel,opel corsa twinport essentia,9
Mercedes - Benz B 150 Special Edition,Mercedes - Benz,mercedes benz b special edition,11
Renault Megane 1.3 TCe Joy Comfort,Renault,renault megane tce joy comfort,0
Peugeot 301 1.6 HDi Active,Peugeot,peugeot hdi active,5
Fiat Egea 1.4 Fire Urban,Fiat,fiat egea fire urban,1
BMW 7 Serisi 740i,BMW,bmw seri,12
Volkswagen Passat 1.6 TDi BlueMotion Business,Volkswagen,volkswagen passat tdi bluemotion business,6
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Hyundai Accent Era 1.4 Start,Hyundai,hyundai accent era start,8
Fiat Linea 1.3 Multijet Pop,Fiat,fiat linea multijet pop,1
Hyundai i20 1.2 MPI Elite Blue,Hyundai,hyundai mpı elit blue,8
Renault Fluence 1.5 dCi Touch,Renault,renault fluence dci touch,0
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen golf tdi bluemotion comfortline,6
Honda Civic 1.6 i-VTEC ECO Elegance,Honda,honda civic vtec eco elegance,17
Hyundai Getz 1.5 CRDi GL Cool,Hyundai,hyundai getz crdi gl cool,8
Renault Clio 1.2 Touch,Renault,renault clio touch,0
Tofaş Doğan SLX,Tofaş,tofaş doğan slx,4
Opel Insignia 1.6 CDTI Grand Sport Enjoy,Opel,opel ınsignia cdtı grand sport enjoy,9
Tofaş Doğan SLX,Tofaş,tofaş doğan slx,4
Toyota Yaris 1.33 Fun,Toyota,toyota yaris fun,13
Renault Fluence 1.5 dCi Touch Plus,Renault,renault fluence dci touch plus,0
Renault Fluence 1.5 dCi Touch,Renault,renault fluence dci touch,0
Mercedes - Benz 300 SEL,Mercedes - Benz,mercedes benz sel,11
Hyundai i20 1.4 CRDi Jump,Hyundai,hyundai crdi jump,8
Volkswagen Polo 1.4 Trendline,Volkswagen,volkswagen polo trend,6
Nissan Micra 1.2 Tekna,Nissan,nissan micra tekna,24
Honda Civic 1.6 i-VTEC ECO Elegance,Honda,honda civic vtec eco elegance,17
Toyota Corolla 1.6 Advance,Toyota,toyota corolla advance,13
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Toyota Auris 1.33 Life,Toyota,toyota auris lif,13
Fiat Linea 1.3 Multijet Urban,Fiat,fiat linea multijet urban,1
Hyundai Accent 1.3 LS,Hyundai,hyundai accent ls,8
BMW 3 Serisi 320i ED Techno Plus,BMW,bmw seri ed techno plus,12
Renault Megane 1.5 dCi Joy,Renault,renault megane dci joy,0
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Citroen C4 1.6 HDi Confort,Citroen,citroen c hdi confort,3
Hyundai Accent Era 1.6 Select,Hyundai,hyundai accent era select,8
Mercedes - Benz E 180 Edition,Mercedes - Benz,mercedes benz edition,11
Opel Vectra 2.0 CD,Opel,opel vectra cd,9
Ford Focus 1.5 TDCi Titanium,Ford,ford focus tdci titanium,2
Dacia Logan 1.5 dCi MCV Black Line,Dacia,dacia logan dci mcv black line,19
Peugeot 508 1.5 BlueHDI Allure,Peugeot,peugeot bluehdı allure,5
Mercedes - Benz C 200 Elegance,Mercedes - Benz,mercedes benz c elegance,11
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Skoda Octavia 1.6 TDI Style CR,Skoda,skoda octavia tdı style cr,7
Renault Clio 1.4 RNA,Renault,renault clio rna,0
Fiat Punto Grande 1.4 Fire Active,Fiat,fiat punto grande fire active,1
Ford Focus 1.5 TDCi Titanium,Ford,ford focus tdci titanium,2
Hyundai Accent 1.5 1.5i GLS,Hyundai,hyundai accent gls,8
Tofaş Doğan SLX,Tofaş,tofaş doğan slx,4
Dacia Sandero 1.5 dCi Stepway,Dacia,dacia sandero dci stepway,19
Ford Focus 1.6 Ti-VCT Trend,Ford,ford focus ti vct trend,2
Tofaş Kartal 5 Vites,Tofaş,tofaş kartal vites,4
Mercedes - Benz C 200 d BlueTEC Avantgarde,Mercedes - Benz,mercedes benz c d bluetec avantgarde,11
Fiat Linea 1.3 Multijet Pop,Fiat,fiat linea multijet pop,1
Opel Astra 1.4 T Sport,Opel,opel astra t sport,9
Skoda Favorit 1.3 LX,Skoda,skoda favorit lx,7
Renault Megane 1.6 Authentique,Renault,renault megane authentique,0
Fiat 500 Ailesi 500L 1.4 Fire Cross Plus,Fiat,fiat aile l fire cross plus,1
Fiat Egea 1.4 Fire Urban,Fiat,fiat egea fire urban,1
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Mercedes - Benz C 180 BlueEFFICIENCY AMG,Mercedes - Benz,mercedes benz c blueeffıcıency amg,11
Volkswagen Passat 1.6 TDi BlueMotion Impression,Volkswagen,volkswagen passat tdi bluemotion ımpression,6
Peugeot 508 1.5 BlueHDI Allure,Peugeot,peugeot bluehdı allure,5
Citroen C3 1.2 VTi Cool,Citroen,citroen c vti cool,3
Mercedes - Benz 250 D,Mercedes - Benz,mercedes benz d,11
Mercedes - Benz C 200 AMG,Mercedes - Benz,mercedes benz c amg,11
Volkswagen Golf 1.5 eTSI R Line,Volkswagen,volkswagen golf etsı r line,6
Tofaş Doğan SLX,Tofaş,tofaş doğan slx,4
Hyundai Accent Era 1.4 Team,Hyundai,hyundai accent era team,8
Fiat Marea 1.6 Liberty,Fiat,fiat marea liberty,1
Volkswagen Golf 1.6 FSi Sportline,Volkswagen,volkswagen golf fsi sportline,6
Fiat Linea 1.3 Multijet Pop,Fiat,fiat linea multijet pop,1
Audi A3 Sportback 1.6 TDI Ambition,Audi,audi sportback tdı ambition,15
Renault Clio 1.5 dCi Joy,Renault,renault clio dci joy,0
Peugeot 308 1.6 HDi Comfort,Peugeot,peugeot hdi comfort,5
Volkswagen Passat 1.6 Trendline,Volkswagen,volkswagen passat trend,6
Skoda Fabia 1.2 TSI Style,Skoda,skoda fabia tsı style,7
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Renault Clio 0.9 TCe Sport Tourer Joy,Renault,renault clio tce sport tourer joy,0
Volvo S90 2.0 D B5 Plus Bright,Volvo,volvo s d b plus bright,25
Dacia Logan 1.5 dCi Ambiance,Dacia,dacia logan dci ambiance,19
Hyundai i20 1.4 CVVT Jump,Hyundai,hyundai cvvt jump,8
Renault R 19 1.4 Europa RN,Renault,renault r europa rn,0
Peugeot 308 1.6 HDi Premium,Peugeot,peugeot hdi premium,5
Hyundai i30 1.6 CVVT Style,Hyundai,hyundai cvvt style,8
Volkswagen Golf 1.4 TSi Trendline,Volkswagen,volkswagen golf tsi trend,6
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Peugeot 508 1.6 Puretech GT,Peugeot,peugeot puretech gt,5
Peugeot 301 1.6 HDi Active,Peugeot,peugeot hdi active,5
Opel Astra 1.3 CDTI Enjoy Plus,Opel,opel astra cdtı enjoy plus,9
Fiat Egea 1.6 Multijet Easy,Fiat,fiat egea multijet easy,1
Opel Astra 1.6 CDTI Elite,Opel,opel astra cdtı elit,9
Renault Laguna 1.6 Expression,Renault,renault laguna expression,0
Opel Astra 1.3 CDTI Enjoy,Opel,opel astra cdtı enjoy,9
Jaguar X-Type 2.5 Executive,Jaguar,jaguar x type executive,26
Renault Clio 1.5 dCi Icon,Renault,renault clio dci ıcon,0
Renault Clio 1.5 dCi Icon,Renault,renault clio dci ıcon,0
Renault Megane 1.5 dCi Touch,Renault,renault megane dci touch,0
Renault Megane 1.3 TCe Joy,Renault,renault megane tce joy,0
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Renault Megane 1.5 dCi Touch,Renault,renault megane dci touch,0
Volkswagen Bora 1.6 Comfortline Variant,Volkswagen,volkswagen bora comfortline variant,6
Renault Clio 1.4 Dynamique,Renault,renault clio dynamique,0
Volkswagen Jetta 1.2 TSi BlueMotion Trendline,Volkswagen,volkswagen jetta tsi bluemotion trend,6
BMW 3 Serisi 320i ED 40th Year Edition,BMW,bmw seri ed th year edition,12
Volkswagen Bora 1.9 TDi Comfortline,Volkswagen,volkswagen bora tdi comfortline,6
Renault Clio 1.2 Authentique,Renault,renault clio authentique,0
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Opel Corsa 1.2 Essentia,Opel,opel corsa essentia,9
Tofaş Kartal SL,Tofaş,tofaş kartal sl,4
Honda Jazz 1.4 ES Elite,Honda,honda jazz es elit,17
Ford Focus 1.6 TDCi Titanium,Ford,ford focus tdci titanium,2
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Mercedes - Benz C 180 BlueEFFICIENCY Selection Plus,Mercedes - Benz,mercedes benz c blueeffıcıency selection plus,11
Mercedes - Benz C 200 d BlueTEC AMG,Mercedes - Benz,mercedes benz c d bluetec amg,11
BMW 1 Serisi 116i Sport Edition,BMW,bmw seri sport edition,12
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
