Model,Marka
Volkswagen Passat 1.6 TDi BlueMotion Highline,Volkswagen
Ford Focus 1.6 TDCi Trend,Ford
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Renault Latitude 1.5 dCi Privilege,Renault
Honda Civic 1.6 i-VTEC Elegance,Honda
Tofaş Kartal 5 Vites,Tofaş
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Volkswagen Passat 1.6 TDi BlueMotion Highline,Volkswagen
Audi A3 Sedan 1.4 TFSI Ambition,Audi
Ford Fiesta 1.4 TDCi Comfort,Ford
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
BMW 5 Serisi 520i M Sport,BMW
Renault Clio 1.4 RNA,Renault
Kia Cerato 1.6 CRDi Concept Plus,Kia
Daihatsu Sirion 1.3,Daihatsu
Peugeot 206 1.4 HDi X-Design,Peugeot
Fiat Egea 1.3 Multijet Urban Plus,Fiat
Ford Focus 1.6 TDCi Trend X,Ford
Mercedes - Benz C 200 d BlueTEC AMG,Mercedes - Benz
Toyota Corolla 1.6 GLi,Toyota
Renault Megane 1.5 dCi Authentique,Renault
Volkswagen Jetta 1.6 TDi Exclusive,Volkswagen
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Hyundai Accent Era 1.5 CRDi Mode,Hyundai
Renault Megane 1.6 Dynamique,Renault
Skoda Octavia 1.6 TDI Elegance,Skoda
Opel Astra 1.6 CDTI Elite,Opel
Audi A6 Sedan 2.0 TDI,Audi
Skoda Fabia 1.2 TSI Style,Skoda
Ford Focus 1.6 TDCi Trend X,Ford
Skoda Octavia 1.6 TDI Ambiente,Skoda
Audi A6 Sedan 2.0 TDI,Audi
BMW 3 Serisi 320d Sport Line,BMW
Fiat Punto 1.3 Multijet Lounge,Fiat
Fiat Egea 1.6 Multijet Mirror,Fiat
Volkswagen Golf 1.6 TDi BlueMotion Highline,Volkswagen
Opel Astra 1.4 T Cosmo,Opel
Volkswagen Golf 1.6 TDi BlueMotion Highline,Volkswagen
Volkswagen Passat 1.6 TDi BlueMotion Business,Volkswagen
Opel Astra 1.4 T Edition Plus,Opel
Volkswagen Jetta 1.2 TSi BlueMotion Trendline,Volkswagen
Toyota Yaris 1.3 Sol,Toyota
Peugeot 301 1.5 BlueHDI Active,Peugeot
Renault Clio 1.5 dCi Authentique,Renault
Audi A3 Sportback 1.6 TDI Attraction,Audi
Renault Clio 1.5 dCi Touch,Renault
Fiat Linea 1.3 Multijet Active Plus,Fiat
Honda Civic 1.6 i-DTEC Elegance,Honda
Skoda Rapid 1.4 TDI Spaceback Style,Skoda
Fiat Egea 1.3 Multijet Easy,Fiat
Tofaş Doğan SLX,Tofaş
Volkswagen Passat 2.0 TDi BlueMotion Highline,Volkswagen
Renault Scenic 1.6 Dynamique,Renault
Volkswagen Golf 1.2 TSi Comfortline,Volkswagen
Toyota Corolla 1.4 D-4D Terra,Toyota
Hyundai Elantra 1.6 D-CVVT Mode,Hyundai
Hyundai Accent Era 1.4 Team,Hyundai
Ford Fiesta 1.4 Titanium,Ford
Renault Clio 1.4 RNA,Renault
Toyota Auris 1.4 D-4D Advance Skypack,Toyota
Kia Rio 1.4 CRDi Fancy,Kia
Renault Clio 1.5 dCi Extreme Edition,Renault
Renault Symbol 1.5 dCi Joy,Renault
Renault Megane 1.5 dCi Joy,Renault
Mercedes - Benz E 200 Kompressor Avantgarde,Mercedes - Benz
Toyota Corolla 1.4 D-4D Premium 50.Yıl,Toyota
Opel Corsa 1.2 Twinport Essentia,Opel
Mercedes - Benz B 150 Special Edition,Mercedes - Benz
Renault Megane 1.3 TCe Joy Comfort,Renault
Peugeot 301 1.6 HDi Active,Peugeot
Fiat Egea 1.4 Fire Urban,Fiat
BMW 7 Serisi 740i,BMW
Volkswagen Passat 1.6 TDi BlueMotion Business,Volkswagen
Renault Symbol 1.5 dCi Joy,Renault
Renault Symbol 1.5 dCi Joy,Renault
Hyundai Accent Era 1.4 Start,Hyundai
Fiat Linea 1.3 Multijet Pop,Fiat
Hyundai i20 1.2 MPI Elite Blue,Hyundai
Renault Fluence 1.5 dCi Touch,Renault
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen
Honda Civic 1.6 i-VTEC ECO Elegance,Honda
Hyundai Getz 1.5 CRDi GL Cool,Hyundai
Renault Clio 1.2 Touch,Renault
Tofaş Doğan SLX,Tofaş
Opel Insignia 1.6 CDTI Grand Sport Enjoy,Opel
Tofaş Doğan SLX,Tofaş
Toyota Yaris 1.33 Fun,Toyota
Renault Fluence 1.5 dCi Touch Plus,Renault
Renault Fluence 1.5 dCi Touch,Renault
Mercedes - Benz 300 SEL,Mercedes - Benz
Hyundai i20 1.4 CRDi Jump,Hyundai
Volkswagen Polo 1.4 Trendline,Volkswagen
Nissan Micra 1.2 Tekna,Nissan
Honda Civic 1.6 i-VTEC ECO Elegance,Honda
Toyota Corolla 1.6 Advance,Toyota
Fiat Egea 1.3 Multijet Easy,Fiat
Toyota Auris 1.33 Life,Toyota
Fiat Linea 1.3 Multijet Urban,Fiat
Hyundai Accent 1.3 LS,Hyundai
BMW 3 Serisi 320i ED Techno Plus,BMW
Renault Megane 1.5 dCi Joy,Renault
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Citroen C4 1.6 HDi Confort,Citroen
Hyundai Accent Era 1.6 Select,Hyundai
Mercedes - Benz E 180 Edition,Mercedes - Benz
Opel Vectra 2.0 CD,Opel
Ford Focus 1.5 TDCi Titanium,Ford
Dacia Logan 1.5 dCi MCV Black Line,Dacia
Peugeot 508 1.5 BlueHDI Allure,Peugeot
Mercedes - Benz C 200 Elegance,Mercedes - Benz
Renault Symbol 1.5 dCi Joy,Renault
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Skoda Octavia 1.6 TDI Style CR,Skoda
Renault Clio 1.4 RNA,Renault
Fiat Punto Grande 1.4 Fire Active,Fiat
Ford Focus 1.5 TDCi Titanium,Ford
Hyundai Accent 1.5 1.5i GLS,Hyundai
Tofaş Doğan SLX,Tofaş
Dacia Sandero 1.5 dCi Stepway,Dacia
Ford Focus 1.6 Ti-VCT Trend,Ford
Tofaş Kartal 5 Vites,Tofaş
Mercedes - Benz C 200 d BlueTEC Avantgarde,Mercedes - Benz
Fiat Linea 1.3 Multijet Pop,Fiat
Opel Astra 1.4 T Sport,Opel
Skoda Favorit 1.3 LX,Skoda
Renault Megane 1.6 Authentique,Renault
Fiat 500 Ailesi 500L 1.4 Fire Cross Plus,Fiat
Fiat Egea 1.4 Fire Urban,Fiat
Fiat Egea 1.3 Multijet Easy,Fiat
Mercedes - Benz C 180 BlueEFFICIENCY AMG,Mercedes - Benz
Volkswagen Passat 1.6 TDi BlueMotion Impression,Volkswagen
Peugeot 508 1.5 BlueHDI Allure,Peugeot
Citroen C3 1.2 VTi Cool,Citroen
Mercedes - Benz 250 D,Mercedes - Benz
Mercedes - Benz C 200 AMG,Mercedes - Benz
Volkswagen Golf 1.5 eTSI R Line,Volkswagen
Tofaş Doğan SLX,Tofaş
Hyundai Accent Era 1.4 Team,Hyundai
Fiat Marea 1.6 Liberty,Fiat
Volkswagen Golf 1.6 FSi Sportline,Volkswagen
Fiat Linea 1.3 Multijet Pop,Fiat
Audi A3 Sportback 1.6 TDI Ambition,Audi
Renault Clio 1.5 dCi Joy,Renault
Peugeot 308 1.6 HDi Comfort,Peugeot
Volkswagen Passat 1.6 Trendline,Volkswagen
Skoda Fabia 1.2 TSI Style,Skoda
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Renault Clio 0.9 TCe Sport Tourer Joy,Renault
Volvo S90 2.0 D B5 Plus Bright,Volvo
Dacia Logan 1.5 dCi Ambiance,Dacia
Hyundai i20 1.4 CVVT Jump,Hyundai
Renault R 19 1.4 Europa RN,Renault
Peugeot 308 1.6 HDi Premium,Peugeot
Hyundai i30 1.6 CVVT Style,Hyundai
Volkswagen Golf 1.4 TSi Trendline,Volkswagen
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Fiat Egea 1.3 Multijet Easy,Fiat
Peugeot 508 1.6 Puretech GT,Peugeot
Peugeot 301 1.6 HDi Active,Peugeot
Opel Astra 1.3 CDTI Enjoy Plus,Opel
Fiat Egea 1.6 Multijet Easy,Fiat
Opel Astra 1.6 CDTI Elite,Opel
Renault Laguna 1.6 Expression,Renault
Opel Astra 1.3 CDTI Enjoy,Opel
Jaguar X-Type 2.5 Executive,Jaguar
Renault Clio 1.5 dCi Icon,Renault
Renault Clio 1.5 dCi Icon,Renault
Renault Megane 1.5 dCi Touch,Renault
Renault Megane 1.3 TCe Joy,Renault
Fiat Egea 1.3 Multijet Easy,Fiat
Renault Megane 1.5 dCi Touch,Renault
Volkswagen Bora 1.6 Comfortline Variant,Volkswagen
Renault Clio 1.4 Dynamique,Renault
Volkswagen Jetta 1.2 TSi BlueMotion Trendline,Volkswagen
BMW 3 Serisi 320i ED 40th Year Edition,BMW
Volkswagen Bora 1.9 TDi Comfortline,Volkswagen
Renault Clio 1.2 Authentique,Renault
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Opel Corsa 1.2 Essentia,Opel
Tofaş Kartal SL,Tofaş
Honda Jazz 1.4 ES Elite,Honda
Ford Focus 1.6 TDCi Titanium,Ford
Fiat Egea 1.3 Multijet Easy,Fiat
Mercedes - Benz C 180 BlueEFFICIENCY Selection Plus,Mercedes - Benz
Mercedes - Benz C 200 d BlueTEC AMG,Mercedes - Benz
BMW 1 Serisi 116i Sport Edition,BMW
Renault Symbol 1.5 dCi Joy,Renault
Fiat Egea 1.3 Multijet Easy,Fiat
Ford Focus 1.6 TDCi Trend X,Ford
Ford Ka 1.3,Ford
Renault Fluence 1.5 dCi Dynamique,Renault
Mercedes - Benz E 180 Premium,Mercedes - Benz
Hyundai Accent Blue 1.6 CRDI Mode Plus,Hyundai
Volvo S80 1.6 T4 Advance,Volvo
Renault Fluence 1.5 dCi Business,Renault
Hyundai Accent 1.3 LS,Hyundai
Opel Astra 1.6 Enjoy,Opel
Fiat Linea 1.4 Fire Active Plus,Fiat
Renault Megane 1.5 Blue DCI Touch,Renault
Fiat Linea 1.3 Multijet Urban,Fiat
Fiat Albea 1.3 Multijet Active,Fiat
Volkswagen Jetta 1.6 TDi Comfortline,Volkswagen
Opel Astra 1.6 Enjoy Plus,Opel
Tofaş Şahin 5 Vites,Tofaş
Fiat Punto Grande 1.3 Multijet Active,Fiat
Volkswagen Polo 1.2 TDi Trendline,Volkswagen
Tofaş Kartal S,Tofaş
Mercedes - Benz E 200,Mercedes - Benz
Fiat Linea 1.3 Multijet Pop,Fiat
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Tofaş Şahin 1.6,Tofaş
Opel Corsa 1.2 Essentia,Opel
Honda Jazz 1.4 ES,Honda
Volkswagen Polo 1.4 Comfortline,Volkswagen
Renault Megane 1.5 dCi Touch,Renault
Fiat Punto EVO 1.3 Multijet Dynamic,Fiat
Volkswagen Polo 1.6 Comfortline,Volkswagen
Opel Astra 1.4 T Sport,Opel
Renault Clio 1.5 dCi SportTourer Joy,Renault
Renault Clio 1.6 RTE,Renault
Renault Megane 1.5 dCi Touch Plus,Renault
Seat Altea 1.9 TDI Style,Seat
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen
Renault Fluence 1.5 dCi Joy,Renault
Renault Megane 1.6 Joy,Renault
Peugeot 308 1.6 HDi Comfort Pack,Peugeot
Opel Corsa 1.3 CDTI Essentia,Opel
Chevrolet Aveo 1.4 LT,Chevrolet
Volkswagen Polo 1.6 TDi Comfortline,Volkswagen
Dacia Sandero 1.5 dCi Stepway,Dacia
Renault Fluence 1.5 dCi Icon,Renault
Mercedes - Benz C 180 Kompressor BlueEFFICIENCY AMG,Mercedes - Benz
Citroen C1 1.0 VTi Shine,Citroen
Ford Fiesta 1.5 TDCi Trend X,Ford
Fiat Palio 1.2 EL,Fiat
Volkswagen Jetta 1.2 TSi Trendline,Volkswagen
Ford Focus 1.6 TDCi Trend X,Ford
Fiat Egea 1.6 Multijet Lounge,Fiat
Citroen C3 1.4 X Furio,Citroen
Honda Civic 1.6 i-VTEC ES,Honda
Skoda SuperB 1.6 TDI Prestige,Skoda
Renault Symbol 1.5 dCi Expression,Renault
Fiat Albea Sole 1.4 Fire Premio,Fiat
Skoda Fabia 1.4 Comfort,Skoda
Renault Megane 1.5 dCi Joy,Renault
BMW 5 Serisi 520d Exclusive,BMW
Seat Ibiza 1.6 Signo,Seat
Ford Fusion 1.4 TDCi Collection,Ford
Hyundai Accent Era 1.4 Start,Hyundai
Renault R 9 1.4 Broadway,Renault
Honda Civic 1.6 i-VTEC ECO Elegance,Honda
Volkswagen VW CC 1.4 TSi,Volkswagen
Renault Clio 1.3 TCe Touch,Renault
Toyota Corolla 1.4 D-4D Active,Toyota
Audi A6 Sedan 3.0 TDI Quattro,Audi
Fiat Linea 1.3 Multijet Active,Fiat
Peugeot 307 1.6 Envy,Peugeot
Toyota Corolla 1.6 XL,Toyota
Fiat Palio 1.6 HL,Fiat
Volkswagen Polo 1.4 Comfortline,Volkswagen
Hyundai Accent Era 1.5 CRDi Select,Hyundai
Renault Clio 1.0 TCe Joy,Renault
Audi A3 Sedan 1.6 TDI Ambition,Audi
BMW 3 Serisi 316i Comfort,BMW
Toyota Corolla 1.6 XEi,Toyota
Hyundai Accent 1.5 GLS,Hyundai
Volkswagen Golf 1.4 TSi Comfortline,Volkswagen
Honda Civic 1.6 i-VTEC Elegance,Honda
Fiat Linea 1.3 Multijet Pop,Fiat
Renault Clio 1.5 dCi Touch,Renault
Opel Astra 1.6 Enjoy 111.Yıl,Opel
Citroen C4 1.6 HDi SX,Citroen
Renault Megane 1.3 TCe Joy,Renault
Fiat Egea 1.3 Multijet Easy,Fiat
Volkswagen Jetta 1.6 TDi Comfortline,Volkswagen
Fiat Linea 1.3 Multijet Pop,Fiat
Honda Civic 1.6 i-VTEC Premium,Honda
Volkswagen Passat 1.4 TSi BlueMotion Trendline,Volkswagen
Tofaş Şahin 5 Vites,Tofaş
Kia Rio 1.3 Comfort,Kia
Opel Corsa 1.4 Swing,Opel
Volkswagen VW CC 1.4 TSi,Volkswagen
Honda Civic 1.5 i-VTEC Sport,Honda
Fiat Palio 1.3 Multijet EL,Fiat
Fiat Albea 1.2 SL,Fiat
Chevrolet Cruze 1.6,Chevrolet
Opel Vectra 2.0 CD,Opel
Mercedes - Benz CLA 200 AMG,Mercedes - Benz
Renault Fluence 1.5 dCi Joy,Renault
Mercedes - Benz E 200 Kompressor Avantgarde,Mercedes - Benz
Renault Symbol 1.5 dCi Joy,Renault
BMW 3 Serisi 320d Comfort,BMW
Renault Megane 1.5 dCi Touch,Renault
Ford Focus 1.5 TDCi Titanium,Ford
Renault Megane 1.5 dCi Touch,Renault
Ford Focus 1.5 TDCi Titanium,Ford
Audi A3 Cabrio 1.4 TFSI Ambition,Audi
Renault Fluence 1.5 dCi Extreme,Renault
Honda Civic 1.6 i ES,Honda
Skoda SuperB 1.6 TDI Style,Skoda
Volkswagen Jetta 1.6 TDi Highline,Volkswagen
Renault Clio 1.5 dCi Authentique,Renault
Volkswagen Jetta 1.6 TDi Comfortline,Volkswagen
Renault Megane 1.3 TCe Joy Comfort,Renault
Honda Civic 1.6 i-VTEC Elegance,Honda
Volvo S90 2.0 D5 Inscription,Volvo
Mercedes - Benz E 200 Kompressor Avantgarde,Mercedes - Benz
Opel Corsa 1.4 Swing,Opel
Volkswagen Jetta 1.4 TSi BlueMotion Highline,Volkswagen
Honda Jazz 1.4 ES Elite,Honda
BMW 2 Serisi 216d Active Tourer,BMW
Audi A4 Sedan 1.8 TFSI,Audi
Renault Clio 1.5 dCi Alize,Renault
Ford Fiesta 1.5 TDCi Trend X,Ford
Ford Fiesta 1.5 TDCi Trend X,Ford
Renault Clio 1.5 dCi Icon,Renault
Volvo S60 1.6 D,Volvo
Peugeot 301 1.6 HDi Allure,Peugeot
Peugeot 301 1.6 HDi Allure,Peugeot
Seat Leon 1.4 TSI Style,Seat
Volvo S60 2.0 B5 Inscription Plus,Volvo
Renault Symbol 1.5 dCi Joy,Renault
Fiat Linea 1.3 Multijet Active,Fiat
Skoda SuperB 1.5 TSI Premium,Skoda
Peugeot 508 1.5 BlueHDI Allure,Peugeot
Honda Jazz 1.4 ES Elite,Honda
Honda Accord 2.0 Executive,Honda
Volkswagen Golf 1.6 TDi BlueMotion Midline Plus,Volkswagen
Volkswagen Polo 1.2 TDi Trendline,Volkswagen
Hyundai i20 1.2 MPI Style,Hyundai
Volvo S60 1.5 T3 Advance,Volvo
Opel Corsa 1.3 CDTI Enjoy 111,Opel
Volvo S40 1.6 D Dynamic,Volvo
Hyundai i20 1.4 CRDi Sense,Hyundai
Tofaş Şahin 5 Vites,Tofaş
Ford Focus 1.6 Ghia,Ford
Hyundai Accent 1.3 LS,Hyundai
Opel Corsa 1.7 DTi Comfort,Opel
Honda City 1.5 i-VTEC Executive,Honda
Fiat Albea 1.2 SL,Fiat
Opel Astra 1.6 Classic Twinport,Opel
BMW 5 Serisi 525d xDrive Premium,BMW
Toyota Yaris 1.4 D-4D Terra,Toyota
Peugeot 407 1.6 HDi Executive,Peugeot
Volvo S60 1.6 D Advance,Volvo
Opel Astra 1.6 Essentia Konfor,Opel
Ford C-Max 1.6 TDCi Trend,Ford
Fiat Egea 1.4 Fire Easy Plus,Fiat
Kia Rio 1.25 CVVT Elegance Tekno,Kia
Tofaş Şahin 1.6 ie,Tofaş
Renault Clio 0.9 TCe Sport Tourer Joy,Renault
Volkswagen Polo 1.4 Comfortline,Volkswagen
Toyota Corolla 1.6 Vision,Toyota
Mercedes - Benz E 250 CDI Premium,Mercedes - Benz
Opel Corsa 1.2 Twinport Essentia,Opel
Ford Fiesta 1.4 TDCi Titanium X,Ford
Renault Fluence 1.5 dCi Icon,Renault
Kia Picanto 1.0 MPI,Kia
Fiat Egea 1.3 Multijet Easy,Fiat
Renault Clio 1.2 Joy,Renault
Fiat Egea 1.3 Multijet Easy,Fiat
Peugeot 301 1.6 HDi Active,Peugeot
Toyota Corolla 1.6 XEi,Toyota
Volkswagen Polo 1.6 TDi Comfortline,Volkswagen
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen
Opel Astra 1.4 T Sport,Opel
Ford Mondeo 1.6 TDCi Titanium,Ford
Audi A3 Cabrio 1.4 TFSI Attraction,Audi
Ford Escort 1.6 CLX,Ford
Fiat Albea Sole 1.3 Multijet Premio,Fiat
Fiat Linea 1.3 Multijet Emotion,Fiat
Honda Civic 1.6 i-VTEC Elegance,Honda
Audi A3 Sedan 1.6 TDI Design Line,Audi
Volkswagen Passat 1.6 FSi Comfortline,Volkswagen
Tofaş Şahin 1.6 ie,Tofaş
Volkswagen Polo 1.4 Comfortline,Volkswagen
Mercedes - Benz E 250 CDI Premium,Mercedes - Benz
Toyota Corolla 1.6 Vision,Toyota
Opel Corsa 1.2 Twinport Essentia,Opel
Ford Fiesta 1.4 TDCi Titanium X,Ford
Renault Fluence 1.5 dCi Icon,Renault
Renault Clio 1.2 Joy,Renault
Kia Picanto 1.0 MPI,Kia
